,	MV_1.0$\mu$M,,,,,					MV_1.0$\mu$M & GTFG_10$\mu$M,,,,,					MV_1.0$\mu$M & GTFG_50$\mu$M,,,,,					MV_0.5$\mu$M,,,,,					MV_0.5$\mu$M & GTFG_10$\mu$M,,,,,					MV_0.5$\mu$M & GTFG_50$\mu$M,,,,				
No._,	Original Length (Pixel),	Elongation (Pixel),	True Length (mm),	True Elongation (mm),	Elongating Ratio (%),	Original Length (Pixel),	Elongation (Pixel),	True Length (mm),	True Elongation (mm),	Elongating Ratio (%),	Original Length (Pixel),	Elongation (Pixel),	True Length (mm),	True Elongation (mm),	Elongating Ratio (%),	Original Length (Pixel),	Elongation (Pixel),	True Length (mm),	True Elongation (mm),	Elongating Ratio (%),	Original Length (Pixel),	Elongation (Pixel),	True Length (mm),	True Elongation (mm),	Elongating Ratio (%),	Original Length (Pixel),	Elongation (Pixel),	True Length (mm),	True Elongation (mm),	Elongating Ratio (%)
1,	107.836,	32.693,	5.072940335,	1.537980251,	0.3032,	77.437,	39.516,	3.642876968,	1.858955361,	0.5103,	82.146,	36.453,	3.864402952,	1.714862328,	0.4438,	89.077,	62.15,	4.190458717,	2.923729013,	0.6977,	82.693,	74.226,	3.890135531,	3.491821556,	0.8976,	108.409,	81.35,	5.099896035,	3.82695664,	0.7504
2,	76.601,	20.484,	3.603548932,	0.963630975,	0.2674,	71.368,	75.251,	3.35737236,	3.540040739,	1.0544,	75.682,	61.166,	3.560316318,	2.877438597,	0.8082,	82.078, 80.914,	3.861204021,	3.806445846,	0.9858,	87.227, 87.063,	4.103428972,	4.095713903,	0.9981,	84.527,	62.017,	3.976412587,	2.91747228,	0.7337
3,	84.594,	65.903,	3.979564475,	3.100281788,	0.7791,	84.873,	63.931,	3.992689501,	3.007512784,	0.7533,	76.115,	48.886,	3.580685983,	2.29974926,	0.6423,	87.003,	87.234,	4.092891316,	4.103758274,	1.0027,	83.756,	49.002,	3.940142352,	2.30520626,	0.5851,	111.125,	81.902,	5.22766511,	3.852924435,	0.737
4,	89.508,	74.65,	4.210734296,	3.511767833,	0.834,	79.149,	49.802,	3.723414765,	2.342840745,	0.6292,	62.393,	39.839,	2.935160488,	1.874150284,	0.6385,	90.253,	82.539,	4.24578141,	3.882890893,	0.9145,	86.404,	71.214,	4.064712496,	3.350127722,	0.8242,	82.003,	55.099,	3.857675788,	2.592028075,	0.6719
5,	102.86,	45.979,	4.838853842,	2.162994952,	0.447,	84.693,	57.427,	3.984221742,	2.701544425,	0.6781,	86.98,	58.52,	4.091809325,	2.75296254,	0.6728,	79.326,	74.375,	3.731741395,	3.498830979,	0.9376,	91.961,	85.841,	4.326131034,	4.038227228,	0.9335,	78.463,	46.937,	3.691143195,	2.208062247,	0.5982
6,	94.75,	38.413,	4.457334255,	1.807066815,	0.4054,	63.657,	50.88,	2.994622973,	2.393553213,	0.7993,	83.103,	31.533,	3.909423204,	1.483410249,	0.3794,	94.961,	77.931,	4.467260351,	3.666116262,	0.8207,	80.594,	52.656,	3.791392053,	2.477101768,	0.6533,	84.134,	67.69,	3.957924646,	3.184347818,	0.8045
7,	96.195,	82.434,	4.525311543,	3.877951367,	0.8569,	74.506,	59.364,	3.504993626,	2.792666921,	0.7968,	77.68, 73.474,	3.654308443,	3.456445141,	0.9459,	98.065,	101.224,	4.61328215,	4.761891321,	1.0322,	84.871,	81.776,	3.992595415,	3.846997003,	0.9635,	95.256,	76.533,	4.481138067,	3.600350001,	0.8034
8,	104.675,	63.465,	4.924237078,	2.985590697,	0.6063,	62.321,	48.759,	2.931773384,	2.293774786,	0.7824,	91.618,	77.977,	4.309995249,	3.668280245,	0.8511,	93.305,	102.306,	4.389356968,	4.812791961,	1.0965,	81.948,	73.077,	3.855088418,	3.437769028,	0.8917,	91.838,	79.243,	4.320344732,	3.727836817,	0.8629
9,	93.166,	44.888,	4.382817976,	2.111670924,	0.4818,	77.326,	58.834,	3.637655183,	2.767734075,	0.7609,	72.42,	54.255,	3.406861707,	2.552323694,	0.7492,	87.102,	100.214,	4.097548584,	4.714377784,	1.1505,	88.206,	72.429,	4.149484172,	3.407285095,	0.8211,	91.091,	69.221,	4.285203532,	3.256370813,	0.7599
10,	88.078,	34.574,	4.143462655,	1.626468333,	0.3925,	77.78,	55.136, 3.659012753,	2.59376867,	0.7089,	79.382,	53.127,	3.734375809,	2.499259071,	0.6693,	81.722,	51.37,	3.844456676,	2.416604335,	0.6286,	76.166,	94.487,	3.583085181,	4.444961919,	1.2405,	88.37,	63.222,	4.157199242,	2.974159222,	0.7154
